NUMERO;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
1849;0;0;0;0;0;0;349;77;0;0;0;0;69;69;65;0;67;16;2;9;3;2018;1
1850;0;0;0;0;0;0;352;81;0;0;0;0;69;68;62;0;75;7;5;9;2;2018;2
1851;0;0;0;0;0;0;375;72;0;0;0;0;83;70;75;0;74;11;5;9;3;2018;2
1852;1;0;0;0;0;0;352;70;0;0;0;0;67;70;72;0;78;20;6;9;3;2018;1
1853;1;0;0;0;0;0;363;76;0;0;0;0;74;68;71;0;76;11;5;9;2;2018;2
1854;0;0;0;0;0;0;358;72;0;0;0;0;73;71;70;0;73;20;6;9;3;2018;1
1855;0;0;0;0;0;0;354;74;0;0;0;0;66;70;72;0;74;19;5;9;1;2018;2
1856;1;0;0;0;0;0;357;71;0;0;0;0;76;68;70;0;72;10;3;9;3;2018;2
1857;1;0;0;0;0;0;353;72;0;0;0;0;75;66;68;0;75;8;3;9;3;2018;2
1858;0;0;0;0;0;0;348;75;0;0;0;0;72;66;66;0;69;10;3;9;2;2018;2
1859;0;0;0;0;0;0;347;74;0;0;0;0;65;74;66;0;65;8;3;9;2;2018;1
1860;0;0;0;0;0;0;352;81;0;0;0;0;64;68;67;0;75;11;5;9;4;2018;2
1861;0;0;0;0;0;0;337;79;0;0;0;0;58;67;65;0;69;20;6;9;2;2018;2
1862;0;0;0;0;0;0;334;72;0;0;0;0;69;74;54;0;62;11;5;9;2;2018;1
1863;0;0;0;0;0;0;342;74;0;0;0;0;67;70;67;0;56;11;5;9;3;2018;2
1864;0;0;0;0;0;0;341;76;0;0;0;0;70;66;60;0;71;8;3;9;2;2018;2
1865;0;0;0;0;0;0;351;71;0;0;0;0;66;69;73;0;75;10;3;9;2;2018;2
1866;0;0;0;0;0;0;351;68;0;0;0;0;66;71;76;0;72;11;5;9;2;2018;1
1867;0;1;0;1;19;5;395;60;60;53;66;58;58;53;57;48;43;7;5;9;2;2018;2
1868;0;0;0;0;0;0;345;75;0;0;0;0;63;67;70;0;72;11;5;9;2;2018;2
1869;0;0;0;0;0;0;350;66;0;0;0;0;66;73;73;0;75;7;5;9;2;2018;1
1870;1;0;0;0;0;0;353;69;0;0;0;0;68;68;74;0;81;10;3;9;2;2018;2
1871;0;0;0;0;0;0;340;75;0;0;0;0;66;69;67;0;53;7;5;9;2;2018;2
1872;1;0;0;0;0;0;343;77;0;0;0;0;65;65;68;0;68;3;1;9;2;2018;2
1873;1;0;0;0;0;0;338;73;0;0;0;0;66;71;59;0;72;8;3;9;3;2018;2
1874;0;0;0;0;0;0;354;69;0;0;0;0;74;68;76;0;59;20;6;9;3;2018;2
1875;0;0;0;0;0;0;341;76;0;0;0;0;66;68;65;0;62;10;3;9;3;2018;1
1876;0;0;0;0;0;0;351;74;0;0;0;0;71;66;73;0;60;20;6;9;2;2018;2
1877;0;0;0;0;0;0;343;75;0;0;0;0;71;66;61;0;74;10;3;9;2;2018;2
1878;0;0;0;0;0;0;144;75;0;0;0;0;69;72;79;0;0;8;3;11;3;2018;2
1879;0;0;0;0;0;0;353;70;0;0;0;0;71;70;75;0;61;7;5;9;2;2018;2
1880;0;0;0;0;0;0;345;77;0;0;0;0;71;66;65;0;59;8;3;9;2;2018;1
1881;0;0;0;0;0;0;338;70;0;0;0;0;68;71;61;0;68;11;5;9;3;2018;2
1882;0;0;0;0;0;0;351;74;0;0;0;0;72;64;74;0;60;12;3;9;4;2018;1
1883;0;0;0;0;0;0;352;69;0;0;0;0;76;65;69;0;77;19;5;9;2;2018;1
1884;0;0;0;0;0;0;342;71;0;0;0;0;73;66;64;0;67;11;5;9;3;2018;1
1885;0;0;0;0;0;0;355;70;0;0;0;0;74;68;75;0;63;8;3;9;3;2018;2
1886;0;0;0;0;0;0;349;78;0;0;0;0;69;70;67;0;56;20;6;9;2;2018;1
1887;1;0;0;0;0;0;349;71;0;0;0;0;67;68;72;0;73;16;2;9;3;2018;1
1888;0;0;0;0;0;0;359;75;0;0;0;0;69;70;69;0;85;8;3;9;3;2018;1
1889;0;0;0;0;0;0;337;72;0;0;0;0;69;76;58;0;52;19;5;9;2;2018;1
1890;1;0;0;0;0;0;345;72;0;0;0;0;69;68;70;0;59;18;3;9;3;2018;2
1891;0;0;0;0;0;0;344;72;0;0;0;0;70;66;68;0;67;5;6;9;1;2018;1
1892;0;0;0;0;0;0;344;76;0;0;0;0;61;65;72;0;72;19;5;9;1;2018;2
1893;0;0;0;0;0;0;360;71;0;0;0;0;73;70;76;0;65;8;3;9;2;2018;2
1894;0;0;0;0;0;0;362;75;0;0;0;0;59;77;74;0;87;13;1;9;3;2018;1
1895;0;0;0;0;0;0;343;56;0;0;0;0;77;67;71;0;78;12;3;7;3;2018;1
1896;1;0;0;0;0;0;356;71;0;0;0;0;72;64;75;0;79;8;3;9;3;2018;2
1897;0;0;0;0;0;0;333;75;0;0;0;0;57;71;66;0;60;20;6;9;2;2018;2
1898;0;0;0;0;0;0;340;75;0;0;0;0;71;64;61;0;67;7;5;9;2;2018;2
1899;1;0;0;0;0;0;341;71;0;0;0;0;64;69;67;0;73;8;3;9;3;2018;2
1900;1;0;0;0;0;0;364;77;0;0;0;0;75;76;67;0;62;20;6;9;2;2018;2
1901;0;0;0;0;0;0;366;57;0;0;0;0;93;70;76;0;63;15;3;9;3;2018;1
1902;1;0;0;0;0;0;354;70;0;0;0;0;71;74;70;0;66;7;5;9;2;2018;2
1903;1;0;0;0;0;0;352;67;0;0;0;0;77;68;68;0;76;10;3;9;3;2018;2
1904;0;0;0;0;0;0;333;74;0;0;0;0;62;64;69;0;58;10;3;7;3;2018;2
1905;0;0;0;0;0;0;345;82;0;0;0;0;62;69;69;0;52;8;3;9;2;2018;2
1906;1;0;0;0;0;0;346;71;0;0;0;0;70;68;72;0;57;7;5;9;2;2018;2
1907;1;0;0;0;0;0;342;71;0;0;0;0;65;69;70;0;64;7;5;9;2;2018;2
1908;1;0;0;0;0;0;338;67;0;0;0;0;71;68;67;0;60;19;5;6;1;2018;2
1909;0;0;0;0;0;0;365;78;0;0;0;0;73;72;74;0;59;8;3;9;3;2018;1
1910;0;0;0;0;0;0;346;72;0;0;0;0;65;68;70;0;74;19;5;9;3;2018;3
1911;0;0;0;0;0;0;360;79;0;0;0;0;70;69;70;0;72;20;6;9;3;2018;1
1912;0;0;0;0;0;0;371;100;0;0;0;0;57;78;64;0;68;9;4;9;3;2018;1
1913;0;0;0;0;0;0;348;74;0;0;0;0;74;74;58;0;64;19;5;9;1;2018;1
1914;0;0;0;0;0;0;350;70;0;0;0;0;70;66;73;0;74;7;5;9;2;2018;1
1915;0;0;0;0;0;0;347;70;0;0;0;0;69;68;67;0;80;11;5;9;2;2018;2
1916;0;0;0;0;0;0;343;72;0;0;0;0;66;72;67;0;60;4;4;9;2;2018;1
1917;0;0;0;0;0;0;348;67;0;0;0;0;75;76;63;0;62;14;2;9;2;2018;2
1918;0;0;0;0;0;0;352;81;0;0;0;0;65;66;69;0;73;14;2;9;3;2018;2
1919;0;0;0;0;0;0;346;70;0;0;0;0;68;68;70;0;72;20;6;9;1;2018;2
1920;1;0;0;0;0;0;357;80;0;0;0;0;61;73;69;0;80;8;3;9;3;2018;2
1921;1;0;0;0;0;0;357;70;0;0;0;0;74;71;73;0;63;10;3;9;3;2018;2
1922;0;0;0;0;0;0;339;74;0;0;0;0;59;67;67;0;81;8;3;9;2;2018;2
1923;1;0;0;0;0;0;342;80;0;0;0;0;65;67;60;0;73;4;4;9;2;2018;2
1924;0;0;0;0;0;0;353;75;0;0;0;0;73;70;63;0;76;20;6;9;1;2018;1
1925;0;0;0;0;0;0;385;78;0;0;0;0;71;83;74;0;82;20;6;9;3;2018;1
1926;0;0;0;0;0;0;348;70;0;0;0;0;69;71;67;0;73;20;6;9;3;2018;1
1927;1;0;0;0;0;0;342;70;0;0;0;0;69;69;63;0;76;10;3;9;3;2018;1
1928;0;0;0;0;0;0;361;75;0;0;0;0;69;71;70;0;83;9;4;9;3;2018;2
1929;0;0;0;0;0;0;347;72;0;0;0;0;74;68;67;0;59;16;2;9;3;2018;2
1930;1;0;0;0;0;0;343;69;0;0;0;0;67;70;68;0;70;18;3;9;3;2018;2
1931;0;0;0;0;0;0;352;70;0;0;0;0;76;68;69;0;67;20;6;9;3;2018;2
1932;0;0;0;0;0;0;352;74;0;0;0;0;65;67;81;0;55;20;6;9;2;2018;2
1933;1;0;0;0;0;0;325;68;0;0;0;0;59;67;63;0;75;8;3;5;2;2018;2
1934;1;0;0;0;0;0;347;73;0;0;0;0;71;66;71;0;60;7;5;9;2;2018;2
1935;0;0;0;0;0;0;374;77;0;0;0;0;71;82;76;0;55;19;5;9;2;2018;2
1936;1;0;0;0;0;0;342;71;0;0;0;0;69;69;62;0;75;8;3;9;3;2018;1
1937;1;0;0;0;0;0;361;72;0;0;0;0;77;74;69;0;63;7;5;9;2;2018;2
1938;0;0;0;0;0;0;358;74;0;0;0;0;70;70;67;0;88;11;5;9;3;2018;1
1939;1;0;0;0;0;0;366;74;0;0;0;0;71;74;74;0;72;12;3;9;3;2018;2
1940;0;0;0;0;0;0;340;77;0;0;0;0;58;74;67;0;55;10;3;9;3;2018;3
1941;1;0;0;0;0;0;337;76;0;0;0;0;59;68;65;0;72;7;5;9;2;2018;2
1942;0;0;0;0;0;0;341;71;0;0;0;0;67;70;66;0;65;8;3;9;2;2018;2
1943;1;0;0;0;0;0;293;58;0;0;0;0;61;62;55;0;54;4;4;7;2;2018;2
1944;0;0;0;0;0;0;349;75;0;0;0;0;69;65;68;0;76;12;3;9;3;2018;2
1945;0;0;0;0;0;0;352;67;0;0;0;0;72;71;70;0;76;20;6;9;2;2018;2
1946;1;0;0;0;0;0;350;79;0;0;0;0;71;66;66;0;64;8;3;9;2;2018;1
1947;1;0;0;0;0;0;374;82;0;0;0;0;77;71;67;0;81;9;4;9;4;2018;1
1948;1;0;0;0;0;0;341;76;0;0;0;0;63;63;70;0;71;11;5;9;2;2018;2
1949;1;0;0;0;0;0;349;78;0;0;0;0;67;68;69;0;62;7;5;9;2;2018;1
1950;1;0;0;0;0;0;345;67;0;0;0;0;67;71;70;0;71;11;5;9;2;2018;2
1951;0;0;0;0;0;0;337;68;0;0;0;0;62;74;66;0;67;11;5;9;2;2018;1
1952;1;0;0;0;0;0;362;72;0;0;0;0;72;75;71;0;72;8;3;9;3;2018;2
1953;1;0;0;0;0;0;325;65;0;0;0;0;66;66;64;0;61;20;6;4;1;2018;2
1954;0;0;0;0;0;0;360;75;0;0;0;0;73;72;66;0;77;11;5;9;4;2018;1
1955;0;0;0;0;0;0;359;74;0;0;0;0;65;65;84;0;70;8;3;9;4;2018;1
1956;0;0;0;0;0;0;343;77;0;0;0;0;63;70;64;0;69;16;2;9;3;2018;2
1957;1;0;0;0;0;0;350;65;0;0;0;0;72;73;70;0;69;15;3;9;3;2018;2
1958;1;0;0;0;0;0;357;72;0;0;0;0;72;69;71;0;75;12;3;9;3;2018;1
1959;1;0;0;0;0;0;337;77;0;0;0;0;60;70;63;0;67;20;6;9;1;2018;2
1960;0;0;0;0;0;0;340;76;0;0;0;0;57;72;67;0;67;11;5;9;3;2018;1
1961;0;0;0;0;0;0;340;72;0;0;0;0;57;71;75;0;58;20;6;9;2;2018;1
1962;1;0;0;0;0;0;352;67;0;0;0;0;73;78;72;0;44;17;2;9;2;2018;2
1963;0;0;0;0;0;0;351;65;0;0;0;0;71;72;77;0;57;20;6;9;2;2018;2
1964;0;0;0;0;0;0;344;80;0;0;0;0;65;70;60;0;70;20;6;9;3;2018;2
1965;1;0;0;0;0;0;331;74;0;0;0;0;58;70;61;0;71;10;3;9;2;2018;2
1966;0;0;0;0;0;0;363;71;0;0;0;0;69;74;77;0;72;10;3;9;2;2018;2
