Tipo de escenario,Corregimiento o comuna,VeredaBarrio,Nombre barrio o vereda,Nombre escenario deportivo,Dirección,Longitud,latitud,georeferenciacion
Placa Polideportiva,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,Balcones 1,Placa polideportiva balcones 1,Cl. 41 #49a-83 a 49a-33,6.66147034,75.75370021,POINT (6.66147034 75.75370021)
Placa Polideportiva,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,El Pinar,Placa polideportiva el Pinar,Cl. 40ab #47-2 a 47-10,6.66148223,75.75366504,POINT (6.66148223 75.75366504)
Gimnasio al aire libre,Corregimiento Sur o Gilberto Echeverri Mejía,Vereda,El Rosal,Gimnasio al aire libre el rosal,Vda. El Rosal,6.66141339,75.75363941,POINT (6.66141339 75.75363941)
Placa Polideportiva,Corregimiento Sur o Gilberto Echeverri Mejía,Vereda,El rosal,Placa polideportiva el Rosal,Vda. El Rosal,6.66141339,75.75363941,POINT (6.66141339 75.75363941)
Placa Polideportiva,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,Sector Uco,Placa polideportiva uco,Cra. 46 #41-2 a 41-242,6.66150238,75.75368405,POINT (6.66150238 75.75368405)
Gimnasio al aire libre,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,Sector uco,Gimnasio al aire libre uco,Cra. 46 #41-2 a 41-242,6.66150238,75.75368405,POINT (6.66150238 75.75368405)
Placa Polideportiva,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,El águila,Placa polideportiva el aguila,Cl. 45 #47-2 a 47-80,6.66150524,75.75370189,POINT (6.66150524 75.75370189)
Gimnasio al aire libre,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,Villa camila,Gimnasio al aire libre villa Camila,Villa Camila,6.66148254,75.75356401,POINT (6.66148254 75.75356401)
Parques infantiles,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,La lela,Parque infantil la lela,Cl. 36 #40-91 a 40-1,6.66149297,75.75360389,POINT (6.66149297 75.75360389)
Cancha de fútbol sintética,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,La lela,Cancha sintética la lela,Cl. 36 #40c-46 a 40c-266,6.66147545,75.75361164,POINT (6.66147545 75.75361164)
Placa Polideportiva,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,La lela,Placa polideportiva la lela,Cl. 36 #40c-46 a 40c-266,6.66147545,75.75361164,POINT (6.66147545 75.75361164)
Gimnasio al aire libre,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,La lela,Gimnasio al aire libre la lela,Cl. 36 #40c-46 a 40c-266,6.66147545,75.75361164,POINT (6.66147545 75.75361164)
Placa Polideportiva,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,La esmeralda,Placa polideportiva la esmeralda,Cra. 39 #4638,6.66154978,75.75364169,POINT (6.66154978 75.75364169)
Gimnasio al aire libre,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,La esmeralda,Gimnasio al aire libre la esmeralda,Cra. 39 #4638,6.66154978,75.75364169,POINT (6.66154978 75.75364169)
Placa Polideportiva,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,Villa clemen,Placa polideportiva,Tv. 42g #42e-2 a 42e-52,6.66154073,75.57536333,POINT (6.66154073 75.57536333)
Gimnasio al aire libre,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,Villa clemen,Gimansio al aire libre villa clemen,Tv. 42g #42e-2 a 42e-52,6.66154073,75.57536333,POINT (6.66154073 75.57536333)
